artist,danceability,energy,key,loudness,acousticness,liveness,valence,tempo,duration_ms,major,minor
NAV,0.721,0.684,5,-10.378,0.937,0.901,0.913,126.958,34936,1,0
NAV,0.835,0.509,1,-6.792,0.0342,0.14,0.275,129.077,145121,1,0
NAV,0.918,0.544,6,-3.749,0.0122,0.085,0.311,122.017,151481,0,1
NAV,0.955,0.619,5,-5.242,0.0317,0.108,0.524,116.026,157242,0,1
NAV,0.788,0.778,11,-4.931,0.00218,0.144,0.543,159.995,159004,0,1
NAV,0.953,0.671,0,-6.076,0.0872,0.0818,0.833,129.954,155086,1,0
NAV,0.851,0.663,4,-4.195,0.0152,0.131,0.529,130.013,184619,0,1
NAV,0.868,0.626,11,-4.611,0.0474,0.111,0.762,140.973,156519,0,1
NAV,0.972,0.688,11,-5.883,0.00613,0.129,0.384,122.006,171632,1,0
NAV,0.697,0.524,1,-6.643,0.148,0.147,0.411,119.997,164489,1,0
NAV,0.894,0.565,10,-6.246,0.584,0.199,0.89,110.938,129634,0,1
NAV,0.932,0.655,1,-5.882,0.0283,0.104,0.38,117.016,188722,1,0
NAV,0.951,0.66,2,-5.966,0.0403,0.288,0.325,129.952,150412,0,1
NAV,0.715,0.721,9,-12.673,0.992,0.284,0.516,124.361,33600,1,0
NAV,0.858,0.699,2,-6.406,0.0328,0.107,0.569,87.522,158798,1,0
NAV,0.902,0.66,1,-5.744,0.019,0.141,0.48,137.075,188490,1,0
NAV,0.712,0.684,5,-10.378,0.937,0.901,0.912,127.278,34936,1,0
NAV,0.851,0.511,1,-6.792,0.0361,0.14,0.271,129.022,145121,1,0
NAV,0.918,0.544,6,-3.749,0.0122,0.085,0.31,122.033,151481,0,1
NAV,0.955,0.619,5,-5.242,0.0317,0.108,0.526,116.035,157242,0,1
NAV,0.788,0.777,11,-4.946,0.00224,0.144,0.556,160.001,159004,0,1
NAV,0.953,0.673,0,-6.076,0.0899,0.0818,0.834,129.957,155086,1,0
NAV,0.851,0.663,4,-4.195,0.015,0.131,0.526,130.02,184619,0,1
NAV,0.868,0.627,11,-4.611,0.047,0.111,0.759,140.968,156519,0,1
NAV,0.971,0.688,11,-5.883,0.00621,0.129,0.397,121.994,171632,1,0
NAV,0.685,0.528,1,-6.636,0.145,0.149,0.402,119.989,164489,1,0
NAV,0.893,0.559,10,-6.245,0.575,0.202,0.896,110.948,129634,0,1
NAV,0.932,0.651,1,-5.912,0.0288,0.104,0.374,117.018,188722,1,0
NAV,0.951,0.663,2,-5.954,0.038,0.289,0.332,129.926,150412,0,1
NAV,0.715,0.722,7,-12.672,0.992,0.284,0.516,124.591,33600,0,1
NAV,0.773,0.702,5,-5.288,0.102,0.136,0.917,160.08,155721,0,1
NAV,0.878,0.643,8,-6.325,0.00254,0.115,0.457,88.004,128072,1,0
NAV,0.865,0.867,1,-5.257,0.0948,0.14,0.93,139.937,199105,1,0
NAV,0.903,0.611,10,-4.37,0.0769,0.62,0.323,119.127,161320,1,0
NAV,0.871,0.843,3,-4.413,0.141,0.218,0.882,147.066,134622,1,0
NAV,0.951,0.704,6,-4.529,0.0282,0.112,0.717,134.027,174367,1,0
NAV,0.967,0.57,4,-6.375,0.11,0.106,0.848,126.979,188118,0,1
NAV,0.837,0.544,7,-7.457,0.3,0.294,0.33,97.963,170536,1,0
NAV,0.774,0.83,7,-4.421,0.153,0.121,0.869,74.976,153972,0,1
NAV,0.879,0.649,7,-6.655,0.534,0.188,0.51,134.009,179372,0,1
NAV,0.883,0.764,7,-4.388,0.0201,0.128,0.577,140.047,159641,1,0
NAV,0.844,0.58,8,-5.111,0.243,0.101,0.613,127.953,143825,0,1
NAV,0.892,0.589,10,-4.043,0.0544,0.114,0.386,113.016,186828,0,1
